Instrument,Date,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score
ACHC.OQ,2019-12-31T00:00:00Z,52.23829648,52.23829648,16.17777778,51.11119536,71.62107718,100,34.66666667,0,0
ACHC.OQ,2020-12-31T00:00:00Z,51.50588575,51.50588575,16.89655172,54.16243869,65.62268924,100,36.20689655,0,0
ACHC.OQ,2021-12-31T00:00:00Z,51.18654167,51.18654167,16.1,54.40737308,64.86481481,100,34.5,0,0
ACI.N,2020-02-29T00:00:00Z,,,,,,,,,
ACI.N,2021-02-27T00:00:00Z,34.88158397,40.73090988,43.34150411,52.93358217,19.18595147,29.03225806,27.16535433,39.453125,77.77777778
ACI.N,,,,,,,,,,
ACI.N,,,,,,,,,,
ACIW.OQ,2014-12-31T00:00:00Z,,,,,,,,,
ACIW.OQ,2015-12-31T00:00:00Z,49.54496143,49.54496143,0,41.66666667,66.01919935,100,0,0,0
ACIW.OQ,2016-12-31T00:00:00Z,50.88576759,50.88576759,0,38.20393504,71.6311149,100,0,0,0
ACIW.OQ,2017-12-31T00:00:00Z,56.28425532,56.28425532,0,50.49230769,72.3677294,100,0,0,0
ACIW.OQ,2018-12-31T00:00:00Z,58.21998807,58.21998807,0,52.2877193,74.80754298,100,0,0,0
ACIW.OQ,2019-12-31T00:00:00Z,57.06800842,57.06800842,22.22222222,58.8286445,62.56996893,100,16.66666667,50,0
ACIW.OQ,2020-12-31T00:00:00Z,59.45622786,59.45622786,21.875,60.22321429,66.33331807,100,15.625,50,0
ACLS.OQ,2016-12-31T00:00:00Z,47.53906923,47.53906923,12.10225032,60.24139135,69.10442042,100,26.02040816,13.58695652,0
ACLS.OQ,2017-12-31T00:00:00Z,46.32676941,46.32676941,11.64887251,62.30779586,61.57155204,100,26.38888889,11.73469388,0
ACLS.OQ,2018-12-31T00:00:00Z,48.03416264,48.03416264,10.22617479,68.57367308,59.51355584,100,25.20661157,8.260869565,0
ACLS.OQ,2019-12-31T00:00:00Z,56.61498478,56.61498478,32.03612778,70.07104866,63.90710779,100,58.39160839,46.45390071,0
ACLS.OQ,2020-12-31T00:00:00Z,65.57598873,65.57598873,50.57670541,73.3303588,70.7804181,100,78.19767442,43.6746988,34.29752066
ACLS.OQ,,,,,,,,,,
ACM.N,2015-09-30T00:00:00Z,36.54207241,36.54207241,52.09623993,31.38729911,22.02093446,100,18.60465116,48.29545455,76.54320988
ACM.N,2016-09-30T00:00:00Z,45.01836502,45.01836502,50.1033645,31.11517005,57.1974432,68.75,18.27956989,43.08510638,76.74418605
ACM.N,2017-09-30T00:00:00Z,49.19295416,49.19295416,51.44082656,47.81792423,47.94041849,100,20.09803922,44.81132075,77.65957447
ACM.N,2018-09-30T00:00:00Z,55.64757411,55.64757411,57.98071188,57.13401479,50.33319631,100,43.79844961,44.73684211,80.08849558
